BJD,RV,e_RV,FWHM,BIS,System,TIC,GaiaDR2
2457797.84787692,22965.9672624771,1.5809781698771,0.0022358407696561,0.0022358407696561,K2-229,98720809,3583630929786305280
2457797.73489435,22971.0433083177,1.471305704993,0.0020807404823981,0.0020807404823981,K2-229,98720809,3583630929786305280
2457796.87008698,22963.4923343779,1.5629222943637,0.0022103059056245,0.0022103059056245,K2-229,98720809,3583630929786305280
2457796.76768374,22967.865369074498,1.4999848154702,0.0021212988693917,0.0021212988693917,K2-229,98720809,3583630929786305280
2457795.85749007,22970.0422319487,1.3638953542065,0.0019288393075766,0.0019288393075766,K2-229,98720809,3583630929786305280
2457795.7611867,22964.678832715,1.7530095736014,0.002479129913957,0.002479129913957,K2-229,98720809,3583630929786305280
2457792.86925606,22983.931920254603,1.2134610312543,0.0017160930478111,0.0017160930478111,K2-229,98720809,3583630929786305280
2457792.75641172,22985.9783713402,1.2676581763155,0.0017927393853986,0.0017927393853986,K2-229,98720809,3583630929786305280
2457789.87067539,22982.871733305,1.4408964182229,0.0020377352566256,0.0020377352566256,K2-229,98720809,3583630929786305280
2457789.79292609,22985.2567014287,1.5149185487052002,0.0021424183574695,0.0021424183574695,K2-229,98720809,3583630929786305280
2457787.8710799,22993.7132229943,1.8193253130886,0.0025729145321386,0.0025729145321386,K2-229,98720809,3583630929786305280
2457787.7778662,22996.9304997518,1.7303477355895,0.0024470812352923,0.0024470812352923,K2-229,98720809,3583630929786305280
2457785.85814585,23003.6351225043,1.7040581966365,0.0024099022127564,0.0024099022127564,K2-229,98720809,3583630929786305280
2457785.76997868,23000.988069827803,1.4749109566279,0.0020858390781559,0.0020858390781559,K2-229,98720809,3583630929786305280
2457784.84540942,22998.1909395904,1.4357002768665001,0.0020303868030474,0.0020303868030474,K2-229,98720809,3583630929786305280
2457784.76590032,22999.6847167569,1.4071079899826,0.0019899512031569,0.0019899512031569,K2-229,98720809,3583630929786305280
2457783.86073,22987.4659482797,1.5297577666294,0.0021634041807129,0.0021634041807129,K2-229,98720809,3583630929786305280
2457783.78366316,22987.962250010798,1.7258573270767001,0.0024407308386728,0.0024407308386728,K2-229,98720809,3583630929786305280
2457782.84804955,22971.0331175045,1.4781228168382001,0.0020903813344257,0.0020903813344257,K2-229,98720809,3583630929786305280
2457782.73630369,22967.977185761,1.9445402418255,0.0027499951825699,0.0027499951825699,K2-229,98720809,3583630929786305280
2457781.87129727,22969.1189844718,1.8043532257939,0.0025517408032294,0.0025517408032294,K2-229,98720809,3583630929786305280
2457781.76494531,22962.623481815397,2.9363664427965,0.0041526492475,0.0041526492475,K2-229,98720809,3583630929786305280
2457877.75585359,22994.118372117002,1.9704685434017,0.0027866633383083,0.0027866633383083,K2-229,98720809,3583630929786305280
2457877.6903595,22999.0371977258,1.583198207253,0.002238980376622,0.002238980376622,K2-229,98720809,3583630929786305280
2457877.63432091,22996.8085845056,1.5228363452167,0.0021536158126802,0.0021536158126802,K2-229,98720809,3583630929786305280
2457877.5466058,22992.4377790247,1.4215496162109,0.0020103747468318,0.0020103747468318,K2-229,98720809,3583630929786305280
2457876.74075818,22995.6531752764,1.7929606901468,0.0025356293248074,0.0025356293248074,K2-229,98720809,3583630929786305280
2457876.68623563,22997.3196591854,1.3718069990898,0.0019400280630712,0.0019400280630712,K2-229,98720809,3583630929786305280
2457876.63079878,22998.6779915187,1.2728871882626,0.001800134325012,0.001800134325012,K2-229,98720809,3583630929786305280
2457876.53620891,22995.175980102802,1.6217198518547,0.0022934582088626,0.0022934582088626,K2-229,98720809,3583630929786305280
2457875.73923701,22990.5251912194,4.9832930447282004,0.0070474406091341,0.0070474406091341,K2-229,98720809,3583630929786305280
2457875.63925378,22987.2630000384,1.7701703021545998,0.0025033988490171,0.0025033988490171,K2-229,98720809,3583630929786305280
2457875.55937367,22991.4732402649,1.5238547307434,0.0021550560273037,0.0021550560273037,K2-229,98720809,3583630929786305280
2457874.72206707,22980.0709281513,2.1152540750743998,0.0029914210008352,0.0029914210008352,K2-229,98720809,3583630929786305280
2457874.59350876,22981.438046802603,2.0558911991464,0.0029074692165963,0.0029074692165963,K2-229,98720809,3583630929786305280
2457874.52041059,22978.1114031478,1.7398074709568998,0.0024604593213454,0.0024604593213454,K2-229,98720809,3583630929786305280
2457873.73531082,22973.5694690344,1.5962167417474,0.0022573913646662,0.0022573913646662,K2-229,98720809,3583630929786305280
2457873.70035884,22973.909843270198,1.4993493201608001,0.0021204001433063,0.0021204001433063,K2-229,98720809,3583630929786305280
