RV,e_RV,Instrument,BTJD
19.4,1.7,HARPS,2205.6305300001986
30.4,1.4,HARPS,2206.6324700000696
21.5,1.9,HARPS,2207.575679999776
22.7,1.3,HARPS,2207.6604599999264
-2.1,1.4,HARPS,2214.718150000088
0.3,1.2,HARPS,2215.6447499999776
2.5,1.3,HARPS,2217.686400000006
5.2,1.6,HARPS,2218.682250000071
1.7,1.1,HARPS,2219.657039999962
0.9,2.1,HARPS,2221.608959999867
-2.2,1.2,HARPS,2222.6101500000805
6.3,1.6,HARPS,2223.568950000219
7.6,1.5,HARPS,2224.661290000193
17.7,1.8,HARPS,2226.655439999886
7.6,1.6,HARPS,2227.667890000157
-3.7,1.8,HARPS,2228.6400999999605
-3.0,1.5,HARPS,2230.630450000055
-1.6,1.8,HARPS,2231.6361099998467
5.4,1.4,HARPS,2232.6346700000577
-1.0,1.2,HARPS,2233.6776999998838
3.5,1.1,HARPS,2242.625010000076
8.4,1.6,HARPS,2243.568340000231
13.6,1.4,HARPS,2244.5449399999343
10.5,1.3,HARPS,2244.627849999815
10.1,2.2,HARPS,2245.6095500001684
17.6,1.1,HARPS,2246.632079999894
6.7,1.4,HARPS,2247.5952699999325
5.9,2.1,HARPS,2248.6137299998663
6.1,1.4,HARPS,2249.6265699998476
3.2,2.0,HARPS,2250.579530000221
16.9,1.8,HARPS,2251.592360000126
11.6,1.5,HARPS,2256.628889999818
10.8,1.2,HARPS,2257.5811600000598
10.8,2.0,HARPS,2261.6383600002155
8.6,1.9,HARPS,2262.5933400001377
8.5,1.5,HARPS,2264.608990000095
10.5,1.4,HARPS,2265.5663800002076
6.1,1.6,HARPS,2266.5565800000913
-2.3,1.7,HARPS,2267.553619999904
3.6,2.1,HARPS,2269.5701999999583
-3.4,1.7,HARPS,2272.576719999779
-6.2,2.3,HARPS,2273.5928400000557
-2.9,1.8,HARPS,2274.589620000217
-1.9,1.9,HARPS,2275.5648599998094
4.5,2.0,HARPS,2276.592459999956
10.1,1.8,HARPS,2277.5725600002334
1.2,1.6,HARPS,2284.5730599998496
4.0,1.6,HARPS,2287.5317199998535
5.9,1.9,HARPS,2288.5385699998587
4.4,2.1,HARPS,2290.536129999906
-0.8,1.7,HARPS,2291.522009999957
1.6,2.8,HARPS,2294.5312299998477
8.4,1.6,HARPS,2295.533439999912
11.5,1.4,HARPS,2296.511729999911
9.7,1.5,HARPS,2297.5284799998626
-2.5,2.1,HARPS,2490.844610000029
-5.3,2.4,HARPS,2491.8171600000933
22.3,1.8,HARPS,2497.848739999812
8.1,2.1,HARPS,2501.844200000167
-3.3,1.8,HARPS,2502.769820000045
4.9,2.1,HARPS,2503.797770000063
-2.8,1.5,HARPS,2504.7661999999546
1.1,1.3,HARPS,2505.77835999988
12.4,1.5,HARPS,2506.7611099998467
16.9,1.2,HARPS,2515.8452599998564
4.9,1.8,HARPS,2520.79981999984
-10.6,2.3,HARPS,2521.8314899997786
3.8,1.5,HARPS,2528.7305600000545
-4.7,1.3,HARPS,2529.739080000203
-12.8,1.7,HARPS,2530.743559999857
-4.3,1.4,HARPS,2531.7163800001144
-6.2,2.4,HARPS,2543.6149399997666
5.5,1.8,HARPS,2545.6895099999383
11.5,2.1,HARPS,2546.720989999827
4.8,1.3,HARPS,2547.6965600000694
7.5,1.2,HARPS,2548.801860000007
1.2,2.2,HARPS,2550.717660000082
2.4,1.5,HARPS,2560.666019999888
-1.2,2.0,HARPS,2561.6764600002207
-0.4,1.7,HARPS,2563.6830400000326
0.1,1.5,HARPS,2564.666939999908
3.5,1.2,HARPS,2577.7475299998187
-3.3,1.6,HARPS,2579.7503300001845
1.7,1.5,HARPS,2581.7299000001512
-1.3,1.6,HARPS,2583.706009999849
0.0,1.0,HARPS,2584.5947699998505
-4.8,1.4,HARPS,2584.72285000002
1.1,1.8,HARPS,2585.5860000001267
-0.2,1.4,HARPS,2585.728240000084
-6.6,1.4,HARPS,2586.7253700001165
-4.4,1.9,HARPS,2587.721239999868
-2.4,1.2,HARPS,2588.5678599998355
-3.5,1.3,HARPS,2588.716810000129
-2.4,2.0,HARPS,2589.718700000085
4.5,1.8,HARPS,2590.592689999845
-0.1,1.2,HARPS,2591.5805500000715
4.2,2.1,HARPS,2591.73731999984
9.7,1.4,HARPS,2592.5938900001347
10.2,1.7,HARPS,2592.7273200000636
6.7,2.1,HARPS,2606.6779900002293
4.1,1.1,HARPS,2609.64814999979
7.7,1.5,HARPS,2610.6583799999207
-5.1,1.4,HARPS,2626.550460000057
-2.2,1.7,HARPS,2627.5501899998635
-6.3,1.4,HARPS,2628.545830000192
-4.3,1.5,HARPS,2629.5692599997856
-15.3,1.2,HARPS-N,1578.35923000006
-18.9,2.3,HARPS-N,1579.3528300002217
6.2,2.5,HARPS-N,1732.717660000082
-2.9,3.3,HARPS-N,1732.7414400000125
0.4,1.0,HARPS-N,1752.6836899998598
0.1,0.9,HARPS-N,1752.7058100001886
-15.3,1.2,HARPS-N,1753.7074400000274
-11.9,1.1,HARPS-N,1754.7154899998568
-11.5,1.6,HARPS-N,2204.5161999999546
-6.9,1.1,HARPS-N,2204.656560000032
-1.9,1.1,HARPS-N,2205.5459900000133
-4.4,1.0,HARPS-N,2205.6392999999225
1.7,1.2,HARPS-N,2206.4797100001015
2.2,1.2,HARPS-N,2206.657310000155
